"",DS-2CE16C2T-IR 2.8,DS-2CE16C0T-IT3 16MM
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes,3 ejes
LEDs,30 m IR,40 m IR,50 m IR,50 m IR,20 m IR
Luz Blanca,;,;,;,;,;
WDR,150 dB,150 dB,150 dB,150 dB,120 dB
Iluminación Mínima,0.015lux,0.01lux,0.01lux,0.015lux,0.03lux
"",,Gestión de Colas,Gestión de Colas,,
"",,Mapa Calor,Mapa Calor,,
"",VCA,VCA,VCA,VCA,Detección de
Análisis de Video,,,,,
"",Detección de Rostros,Conteo de Personas,Conteo de Personas,Detección de Rostros,Movimiento
"",,Detección de,Detección de,,
"",,Movimiento,Movimiento,,
Entradas/Salidas de,,,,,
Alarma,1e/1s,1e/1s,1e/1s,1e/1s,1e/1s
Entrada/Salida Audio,1e/1s,1e/1s,1e/1s,;,;
Slot SD,2 x Micro SD (512 GB),Micro SD (512 GB),2 x Micro SD (512 GB),2 x Micro SD (512 GB),Micro SD (128 GB)
WIFI,;,;,;,;,;
Exterior,;,IP67,IP67,IP67,;
Grado de Protección,,,,,
Antivandálica,IK08,IK10,IK10,IK10,;
Soporte Pared,SBP-300WM1,SBP-300WMW1,SBP-300WMW1,No,No
Soporte Base,SBP-300NB,No,No,No,No
Soporte Techo,SBP-300CM,SBP-300CMW,SBP-300CMW,No,No
Soporte Poste,SBP-300PM,No,No,No,No
Soporte Esquina,SBP-300KM,SBP-300KMW1,SBP-300KMW1,No,No
Soporte Empotrado,No,No,No,No,No
"",,,,12 Vdc / 24 Vac / PoE,12 Vdc
Alimentación,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af,12 Vdc / PoE + 802.3at,,
"",,,,802.3af,PoE 802.3af
Alto x Ancho x,,,,,
Profundo (cm),11.30 x 14.00 x 14.00,16.00 x 16.00 x 11.80,18.00 x 18.00 x 12.50,11.85 x 16.00 x 16.00,9.88 x 11.98 x 11.98
Peso (kg),0.65,1.45,1.90,1.01,0.32
Disponibilidad,C,C,C,C,B
"",QND-6082R,QNV-6082R,QNV-6082R1,XNV-L6080R,ANV-L6082R
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,2 Mpx,2 Mpx,2 Mpx,2 Mpx,2 Mpx
"",IP,IP,,,
Tecnología de Vídeo,,,IP,IP,IP
"",BNC,BNC,,,
Tipo de Óptica,Motorizada,Motorizada,Motorizada,Motorizada,Motorizada
Distancia Focal,"3,2 - 10 mm","3,2 - 10 mm","3,2 - 10 mm","3,2 - 10 mm","3,2 - 10 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes,3 ejes
LEDs,20 m IR,30 m IR,30 m IR,30 m IR,30 m IR
Luz Blanca,;,;,;,;,;
WDR,120 dB,120 dB,120 dB,120 dB,120 dB
Iluminación Mínima,0.095lux,0.095lux,0.03lux,0.1 lux,0.03lux
"",,,Detección de,,
"",,,,Detección de,
Análisis de Video,VCA,VCA,Movimiento,,VCA
"",,,,Movimiento,
"",,,Cruce de Linea,,
Entradas/Salidas de,,,,,
Alarma,1e/1s,1e/1s,1e/1s,;,;
Entrada/Salida Audio,Micrófono Integrado,1 e,;,;,;
Slot SD,Micro SD (128 GB),Micro SD (128 GB),Micro SD (128 GB),Micro SD (256 GB),Micro SD (32 GB)
WIFI,;,;,;,;,;
Exterior,;,IP66,IP66,IP66,IP66
Grado de Protección,,,,,
Antivandálica,;,IK10,IK10,IK10,IK10
"",,SBP-300WMW1,,,
Soporte Pared,SBP-300WMW1,,SBP-300WMW1,SBP-300WM1,No
"",,SBV-136BW,,,
Soporte Base,SBP-300NBW,SBP-300NBW,No,No,No
Soporte Techo,SBP-300CMW,SBP-300CMW,No,No,No
Soporte Poste,SBP-300PMW,SBP-300PMW,No,No,No
Soporte Esquina,SBP-300KMW,SBP-300KMW,No,No,No
Soporte Empotrado,No,No,No,No,No
"",,,12 Vdc,,
Alimentación,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af,,PoE 802.3af,PoE 802.3af
"",,,PoE 802.3af,,
Alto x Ancho x,,,,,
Profundo (cm),9.88 x 11.98 x 11.98,10.60 x 13.70 x 13.70,10.60 x 13.70 x 13.70,11.80 x 16.00 x 16.00,13.78 x 13.78 x 10.71
Peso (kg),0.32,0.71,0.71,0.94,0.55
Disponibilidad,B,B,A,C,B
"",PNV-A6081R-E1T,PND-A6081RV,PND-A6081RF
Tipo de Cámara,Minidomo,Minidomo,Minidomo
Resolución,2 Mpx,2 Mpx,2 Mpx
Tecnología de Vídeo,IP,IP,IP
Tipo de Óptica,Motorizada,Motorizada,Motorizada
Distancia Focal,4.4 - 9.3 mm,4.4 - 9.3 mm,4.4 - 9.3 mm
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes
LEDs,40 m IR,40 m IR,40 m IR
Luz Blanca,;,;,;
WDR,120 dB,120 dB,120 dB
Iluminación Mínima,0.007lux,0.007lux,0.007lux
"",,Gestión de Colas,Gestión de Colas
"",,Mapa Calor,Mapa Calor
"",LPR,Hombre / Vehículo,Hombre / Vehículo
"",Clasificación Tipo de Vehículo,VCA,VCA
Análisis de Video,Clasificación Color de Vehículo,Detección de placa matrícula,Detección de placa matrícula
"",Detección de Humanos,Clasificación Tipo de Vehículo,Clasificación Tipo de Vehículo
"",Cruce de Linea,Conteo de Personas,Conteo de Personas
"",,Detección de Movimiento,Detección de Movimiento
"",,Detección de Rostros,Detección de Rostros
Entradas/Salidas de Alarma,1e/1s,1e/1s,1e/1s
Entrada/Salida Audio,Micrófono Integrado,1e/1s,1e/1s
Slot SD,;,2 x Micro SD (512 GB),2 x Micro SD (512 GB)
WIFI,;,;,;
Exterior,IP67,IP52,IP52
Grado de Protección,,,
Antivandálica,IK10,IK10,IK10
Soporte Pared,No,No,No
Soporte Base,No,No,No
Soporte Techo,No,No,No
Soporte Poste,No,No,No
Soporte Esquina,No,No,No
Soporte Empotrado,No,No,No
"",12 Vdc,,
Alimentación,,12 Vdc / PoE + 802.3at,12 Vdc / PoE + 802.3at
"",PoE+ 802.3at,,
Alto x Ancho x Profundo (cm),13.00 x 18.00 x 18.00,16.00 x 16.00 x 12.50,20.50 x 20.50 x 16.30
Peso (kg),1.90,1.60,1.95
Disponibilidad,C,C,C
"",QND-7012R,QNV-7010R,ANE-L7012R,XND-C7083RV
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,4 Mpx,4 Mpx,4 Mpx,4 Mpx
Tecnología de Vídeo,IP,IP,IP,IP
Tipo de Óptica,Fija,Fija,Fija,Motorizada
Distancia Focal,"2,8 mm","2,8 mm",3 mm,2.8 - 10mm
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes
LEDs,20 m IR,20 m IR,20 m IR,40 m IR
Luz Blanca,;,;,;,;
WDR,120 dB,120 dB,120 dB,120 dB
Iluminación Mínima,0.015lux,0.16lux,0.13 lux,0.034lux
"",,,,LPR
"",Detección Perimetral,,,Hombre / Vehículo
Análisis de Video,,VCA,Detección de Movimiento,
"",Detección de Movimiento,,,VCA
"",,,,Detección de Movimiento
Entradas/Salidas de,,,,
Alarma,1e/1s,1e/1s,;,1e/1s
"",Micrófono / Altavoz,,,
Entrada/Salida Audio,,1e/1s,;,1e/1s
"",Integrado,,,
Slot SD,Micro SD (128 GB),Micro SD (128 GB),Micro SD (128 GB),Micro SD (512 GB)
WIFI,;,;,;,;
Exterior,;,IP66,IP67,IP52
Grado de Protección,,,,
Antivandálica,;,IK10,IK10,IK08
"",,SBP-300WM1,,
Soporte Pared,SBP-300WMW1,,No,SBP-300WMW1
"",,SBP-122HMW,,
Soporte Base,No,SBP-300NB,No,No
"",,SBP-300CMW,,
Soporte Techo,SBP-300CMW,,No,No
"",,SBP-122HMW,,
"",,SBP-300PMW,,
Soporte Poste,SBP-300PMW,SBP-300WMW1,No,No
"",,SBP-122HMW,,
"",,SBP-300WMW1,,
Soporte Esquina,SBP-300KMW,SBP-300KMW1,No,SBP-300KMW1
"",,SBP-122HMW,,
Soporte Empotrado,No,No,No,No
Alimentación,12 Vdc,12 Vdc / PoE 802.3af,PoE 802.3af,12 Vdc / PoE 802.3af
Alto x Ancho x Profundo,,,,
"(cm)",11.00 x 11.00 x 8.60,12.03 x 12.03 x 9.17,8.70 x 8.70 x 12.50,16.00 x 16.00 x 11.80
Peso (kg),0.29,0.49,0.63,1.35
Disponibilidad,B,C,C,C
"",XNV-C7083R,QND-7082R,QNV-7082R,ANV-L7082R
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,4 Mpx,4 Mpx,4 Mpx,4 Mpx
Tecnología de Vídeo,IP,IP,IP,IP
Tipo de Óptica,Motorizada,Motorizada,Motorizada,Motorizada
Distancia Focal,2.8 - 10mm,"3,2 - 10 mm","3,2 - 10 mm","3,35-10,05 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes
LEDs,40 m IR,20 m IR,30 m IR,30 m IR
Luz Blanca,;,;,;,;
WDR,120 dB,120 dB,120 dB,120 dB
Iluminación Mínima,0.034lux,0.1lux,0.1lux,0.1 lux
"",LPR,,,
"",Hombre / Vehículo,VCA,VCA,
Análisis de Video,,,,Detección de Movimiento
"",VCA,Detección de Movimiento,Detección de Movimiento,
"",Detección de Movimiento,,,
Entradas/Salidas de,,,,
Alarma,1e/1s,1e/1s,1e/1s,;
Entrada/Salida Audio,1e/1s,Micrófono Integrado,1 e,;
Slot SD,Micro SD (512 GB),Micro SD (128 GB),Micro SD (128 GB),Micro SD (128 GB)
WIFI,;,;,;,;
Exterior,IP67,;,IP66,IP66
Grado de Protección,,,,
Antivandálica,IK10,;,IK10,IK10
Soporte Pared,SBP-300WMW1,SBP-300WMW1,SBP-300WMW1,No
Soporte Base,No,No,No,No
Soporte Techo,SBP-300CMW,No,No,No
Soporte Poste,No,SBP-300PMW,SBP-300PMW,No
Soporte Esquina,SBP-300KMW1,SBP-300KMW,SBP-300KMW,No
Soporte Empotrado,No,No,No,No
Alimentación,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af,PoE 802.3af
Alto x Ancho x Profundo,,,,
"(cm)",16.00 x 16.00 x 11.80,11.98 x 11.98 x 9.88,10.61 x 13.70 x 13.70,10.70 x 13.70 x 13.70
Peso (kg),1.45,0.32,0.71,0.55
Disponibilidad,C,A,B,A
"",QNV-C8012,QNV-C8011R,XND-8020R,XNV-8020R
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,5 Mpx,5 Mpx,5 Mpx,5 Mpx
"",,,IP,IP
Tecnología de Vídeo,IP,IP,,
"",,,BNC,BNC
Tipo de Óptica,Fija,Fija,Fija,Fija
Distancia Focal,2.4 mm,3 mm,"3,7 mm","3,7 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes
LEDs,;,20 m IR,30 m IR,30 m IR
Luz Blanca,;,;,;,;
WDR,120 dB,120 dB,120 dB,120 dB
Iluminación Mínima,0.05lux,0.03lux,0.16lux,0.16lux
"",Gestión de Colas,Gestión de Colas,,
"",Mapa Calor,Mapa Calor,,
"",Hombre / Vehículo,Hombre / Vehículo,,
"",VCA,VCA,VCA,VCA
Análisis de Video,,,,
"",Clasificación Tipo de,Clasificación Tipo de,Detección de Rostros,Detección de Rostros
"",Vehículo,Vehículo,,
"",Detección Perimetral,Detección Perimetral,,
"",Conteo de Personas,Conteo de Personas,,
Entradas/Salidas de,,,,
Alarma,;,;,1e/1s,1e/1s
Entrada/Salida Audio,;,;,1e/1s,1e/1s
Slot SD,Micro SD (256 GB),Micro SD (256 GB),2 x Micro SD (512 GB),2 x Micro SD (512 GB)
WIFI,;,;,;,;
Exterior,IP66,IP66,;,IP67
Grado de Protección,,,,
Antivandálica,IK10,IK10,IK08,IK10
Soporte Pared,No,No,SBP-300WM1,SBP-300WM1
Soporte Base,No,No,SBP-300NB,SBP-300NB
Soporte Techo,No,No,SBP-300CM,SBP-300CM
Soporte Poste,No,No,SBP-300PM,SBP-300PM
Soporte Esquina,No,No,SBP-300KM,SBP-300KM
Soporte Empotrado,No,No,No,No
Alimentación,PoE 802.3af,PoE 802.3af,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af
Alto x Ancho x Profundo,,,,
"(cm)",11.00 x 11.00 x 7.70,11.00 x 11.00 x 7.70,9.00 x 11.00 x 11.00,97.50 x 12.00 x 12.00
Peso (kg),0.52,0.52,0.38,0.62
Disponibilidad,C,C,C,C
"",QND-8080R,QNV-C8083R,XND-8080R,XNV-8080R
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,5 Mpx,5 Mpx,5 Mpx,5 Mpx
Tecnología de Vídeo,IP,IP,IP,IP
Tipo de Óptica,Motorizada,Varifocal Manual,Motorizada,Motorizada
Distancia Focal,"3,2 - 10 mm",3.2 - 10.2 mm,"3,9 - 9,4 mm","3,9 - 9,4 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes
LEDs,20 m IR,30 m IR,30 m IR,50 m IR
Luz Blanca,;,;,;,;
WDR,120 dB,120 dB,120 dB,120 dB
Iluminación Mínima,0.15 lux,0.07 lux,0.07 lux,0.007lux
"",,Gestión de Colas,,
"",,Mapa Calor,,
"",,Hombre / Vehículo,,
"",,VCA,VCA,VCA
Análisis de Video,Detección de Movimiento,,,
"",,Clasificación Tipo de,Detección de Rostros,Detección de Rostros
"",,Vehículo,,
"",,Detección Perimetral,,
"",,Conteo de Personas,,
Entradas/Salidas de,,,,
Alarma,1e/1s,;,1e/1s,1e/1s
Entrada/Salida Audio,;,1e/1s,1e/1s,1e/1s
Slot SD,Micro SD (128 GB),Micro SD (256 GB),2 x Micro SD (512 GB),2 x Micro SD (512 GB)
WIFI,;,;,;,;
Exterior,;,IP66,;,IP66
Grado de Protección,,,,
Antivandálica,;,IK10,IK08,IK10
Soporte Pared,No,No,SBP-300WM1,SBP-300WM1
Soporte Base,SBP-300NBW,No,SBP-300NB,SBP-300NB
Soporte Techo,SBP-122HMW,No,SBP-300CM,SBP-300CM
Soporte Poste,SBP-300WMW1,No,SBP-300PM,SBP-300PM
Soporte Esquina,SBP-300KMW,No,SBP-300KM,SBP-300KM
Soporte Empotrado,No,No,No,No
"",,,,12 Vdc / 24 Vac / PoE
Alimentación,PoE 802.3af,PoE 802.3af,12 Vdc / PoE 802.3af,
"",,,,802.3af
Alto x Ancho x Profundo,,,,
"(cm)",- x - x -,14.00 x 14.00 x 11.02,11.30 x 14.00 x 14.00,11.85 x 16.00 x 16.00
Peso (kg),0.43,0.88,0.63,1.01
Disponibilidad,C,C,C,C
"",QNV-C9011R,XND-9082RV,XNV-9082R,QNV-C9083R,PND-A9081RV,PNV-A9081R
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,8 Mpx,8 Mpx,8 Mpx,8 Mpx,8 Mpx,8 Mpx
Tecnología de,,,,,IP,IP
Vídeo,IP,IP,IP,IP,BNC,BNC
Tipo de Óptica,Fija,Motorizada,Motorizada,Varifocal Manual,Motorizada,Motorizada
Distancia Focal,3 mm,2.8 - 8.4 mm,2.8 - 8.4 mm,3.2 - 10.2 mm,"4,5 - 10 mm","4,5 - 10 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes,3 ejes,3 ejes
LEDs,20 m IR,40 m IR,40 m IR,30 m IR,30 m IR,30 m IR
Luz Blanca,;,;,;,;,;,;
WDR,120 dB,120 dB,120 dB,120 dB,120 dB,120 dB
Iluminación Mínima,0.03lux,0.05lux,0.05lux,0.06 lux,0.05lux,0.05lux
"",,,,,Gestión de Colas,Gestión de Colas
"",,,,,Mapa Calor,Mapa Calor
"",,,,,Hombre / Vehículo,Hombre / Vehículo
"",,,,,VCA,VCA
"",,,Gestión de Colas,,,
"",Hombre / Vehículo,,,Hombre / Vehículo,Detección de placa,Detección de placa
"",,LPR,Mapa Calor,,,
"",VCA,,,VCA,matrícula,matrícula
"",,Hombre / Vehículo,VCA,,,
"",Clasificación Tipo,,,Clasificación Tipo,Clasificación Tipo,Clasificación Tipo
Análisis de Video,,VCA,Conteo de,,,
"",de Vehículo,,,de Vehículo,de Vehículo,de Vehículo
"",,Detección de,Personas,,,
"",Detección,,,Detección,Conteo de,Conteo de
"",,Movimiento,Detección de,,,
"",Perimetral,,,Perimetral,Personas,Personas
"",,,Movimiento,,,
"",,,,,Detección de,Detección de
"",,,,,Movimiento,Movimiento
"",,,,,Detección de,Detección de
"",,,,,Rostros,Rostros
Entradas/Salidas,,,,,,
de Alarma,;,1e/1s,1e/1s,1e/1s,1e/1s,1e/1s
Entrada/Salida,,Micrófono,,,,
Audio,;,Integrado,1e/1s,1e/1s,1e/1s,1e/1s
"",,2 x Micro SD (256,2 x Micro SD (256,,2 x Micro SD (512,2 x Micro SD (512
Slot SD,Micro SD (256 GB),,,Micro SD (256 GB),,
"",,GB),GB),,GB),GB)
WIFI,;,;,;,;,;,;
Exterior,IP66,IP52,IP67,IP66,IP52,IP67
Grado de,,,,,,
Protección,IK10,IK10,IK10,IK10,IK10,IK10
Antivandálica,,,,,,
Soporte Pared,No,SBP-300WMW1,No,No,SBP-300WMW1,SBP-300WMW1
Soporte Base,No,No,No,No,SBP-300NBW,SBP-300NBW
Soporte Techo,No,SBP-300CMW,No,No,SBP-300CMW,SBP-300CMW
Soporte Poste,No,SBP-300PMW,No,No,SBP-300PMW,SBP-300PMW
Soporte Esquina,No,SBP-300KMW,No,No,SBP-300KMW,SBP-300KMW
Soporte,,,,,,
Empotrado,No,No,No,No,No,No
"",,12 Vdc / PoE,12 Vdc / 24 Vac /,,12 Vdc / PoE +,12 Vdc / PoE +
Alimentación,PoE 802.3af,,,PoE 802.3af,,
"",,802.3af,PoE 802.3af,,802.3at,802.3at
Alto x Ancho x,,16.00 x 16.00 x,18.00 x 18.00 x,,12.50 x 16.00 x,12.50 x 18.00 x
Profundo (cm),11.00 x 11.00 x 7.70,12.50,12.50,14.00 x 14.00 x 11.02,16.00,18.00
Peso (kg),0.52,1.60,1.90,0.88,1.60,1.90
Disponibilidad,C,C,C,C,C,C
"",XNF-8010R,XNF-8010RV,XNF-9010RV
Tipo de Cámara,Fisheye,Fisheye,Fisheye
Resolución,4 Mpx,4 Mpx,12 Mpx
Tecnología de Vídeo,IP,IP,IP
Tipo de Óptica,Fija,Fija,Fija
Distancia Focal,"1,6 mm","1,6 mm",1.08 mm
"Ángulo de Ajuste",;,;,;
LEDs,15 m IR,15 m IR,10 m IR
Luz Blanca,;,;,;
WDR,120 dB,120 dB,120 dB
Iluminación Mínima,0.1lux,0.1lux,0.39 lux
"",Gestión de Colas,Gestión de Colas,
"",Mapa Calor,Mapa Calor,
Análisis de Video,,,Detección de Movimiento
"",VCA,VCA,
"",Conteo de Personas,Conteo de Personas,
Entradas/Salidas de Alarma,1e/1s,1e/1s,2e/2s
Entrada/Salida Audio,1e/1s,1e/1s,Micrófono Integrado
Slot SD,2 x Micro SD (512 GB),2 x Micro SD (512 GB),2 x Micro SD (512 GB)
WIFI,;,;,;
Exterior,;,IP66,IP66
Grado de Protección,,,
Antivandálica,IK10,IK10,IK10
Soporte Pared,SBP-300WM1,SBP-300WM1,No
Soporte Base,SBP-300NP,SBP-300NP,No
Soporte Techo,SBP-300CM,SBP-300CM,No
Soporte Poste,SBP-300PM,SBP-300PM,No
Soporte Esquina,SBP-300KM,SBP-300KM,No
Soporte Empotrado,No,No,No
Alimentación,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af
Alto x Ancho x Profundo (cm),5.48 x 14.60 x 14.60,5.48 x 14.60 x 14.60,7.20 x 16.00 x 16.00
Peso (kg),0.72,0.79,1.10
Disponibilidad,A,C,B
"",XNP-6120H,QNP-6250H,QNP-6250R,XNP-6371RH
Aumentos,x12,x25,x25,x37
Resolución,2 Mpx,2 Mpx,2 Mpx,2 Mpx
LEDs,;,;,100 m IR,350 m IR
"",,,,IP
Tecnología de Vídeo,IP,IP,IP,
"",,,,BNC
Giro Continuo,;,;,;,;
WDR,150 dB,120 dB,120 dB,150 dB
"",,VCA,VCA,
Análisis de Video,VCA,,,VCA
"",,Detección de Movimiento,Detección de Movimiento,
Entradas/Salidas de,,,,
Alarma,1e/1s,;,;,4e/2s
Exterior,IP66,IP66,IP66,IP66
Grado de Protección,,,,
Antivandálica,IK10,IK10,IK10,IK10
Wiper,;,;,;,;
Anticorrosión,;,;,;,;
Slot SD,2 x Micro SD (512 GB),Micro SD (256 GB),Micro SD (256 GB),Micro SD (256 GB)
Soporte Pared,SBP-300WM1,No,No,SBP-300WM1
Soporte Base,SBP-300NB,No,No,SBP-300NB
Soporte Techo,SBP-300CM,No,No,SBP-300CM
Soporte Poste,SBP-300PM,No,No,SBP-300PM
Soporte Esquina,SBP-300KM,No,No,SBP-300KM
Soporte Empotrado,No,No,No,No
Soporte Suspendido,No,No,No,No
Alimentación,12 Vdc / PoE 802.3af,PoE+ 802.3at,PoE+ 802.3at,24 Vac
Alto x Ancho x Profundo,,,,
"(cm)",16.15 x 16.80 x -,20.43 x 20.43 x 26.50,15.80 x 15.80 x 29.33,40.77 x 23.69 x 23.69
Peso (kg),1.90,2.70,3.10,7.10
Disponibilidad,C,C,B,C
"",XNP-6400R,XNP-C6403R,XNP-6550RH
Aumentos,x40,x40,x55
Resolución,2 Mpx,2 Mpx,2 Mpx
LEDs,200 m IR,200 m IR,500 m IR
"",,,IP
Tecnología de Vídeo,IP,IP,
"",,,BNC
Giro Continuo,;,;,;
WDR,150 dB,150 dB,120 dB
"",VCA,,
"",,Hombre / Vehículo,
Análisis de Video,Detección de Movimiento,,VCA
"",,VCA,
"",Detección de Rostros,,
Entradas/Salidas de Alarma,;,;,4e/2s
Exterior,IP66,IP66,IP66
Grado de Protección,,,
Antivandálica,IK10,IK10,IK10
Wiper,;,;,;
Anticorrosión,;,;,;
Slot SD,2 x Micro SD (1TB),2 x Micro SD (1TB),2 x Micro SD (512 GB)
Soporte Pared,No,No,SBP-300WM1
Soporte Base,No,No,SBP-300NB
Soporte Techo,No,No,SBP-300CM
Soporte Poste,No,No,SBP-300PM
Soporte Esquina,No,No,SBP-300KM
Soporte Empotrado,No,No,No
Soporte Suspendido,No,No,No
Alimentación,PoE+ 802.3at,Hi-PoE 802.3bt,Hi-PoE 802.3bt
Alto x Ancho x Profundo (cm),15.80 x 15.80 x 29.33,15.80 x 15.80 x 29.33,40.77 x 23.69 x 23.69
Peso (kg),2.80,3.20,7.10
Disponibilidad,A,C,C
"",XNP-8250R,XNP-C8253R
Aumentos,x25,x25
Resolución,6 Mpx,6 Mpx
LEDs,200 m IR,200 m IR
Tecnología de Vídeo,IP,IP
Giro Continuo,;,;
WDR,120 dB,120 dB
"",VCA,
Análisis de Video,Detección de Movimiento,Hombre / Vehículo
"",Detección de Rostros,
Entradas/Salidas de Alarma,;,;
Exterior,IP66,IP66
Grado de Protección Antivandálica,IK10,IK10
Wiper,;,;
Anticorrosión,;,;
Slot SD,2 x Micro SD (1TB),2 x Micro SD (512 GB)
Soporte Pared,No,No
Soporte Base,No,No
Soporte Techo,No,No
Soporte Poste,No,No
Soporte Esquina,No,No
Soporte Empotrado,No,No
Soporte Suspendido,No,No
Alimentación,Hi-PoE 802.3bt,Hi-PoE 802.3bt
Alto x Ancho x Profundo (cm),15.80 x 15.80 x 29.33,15.80 x 15.80 x 29.33
Peso (kg),2.80,3.20
Disponibilidad,C,C
"",XNP-9250R
Aumentos,x25
Resolución,8 Mpx
LEDs,200 m IR
Tecnología de Vídeo,IP
Giro Continuo,;
WDR,120 dB
"",VCA
Análisis de Video,Detección de Movimiento
"",Detección de Rostros
Entradas/Salidas de Alarma,;
Exterior,IP66
Grado de Protección Antivandálica,IK10
Wiper,;
Anticorrosión,;
Slot SD,2 x Micro SD (1TB)
Soporte Pared,No
Soporte Base,No
Soporte Techo,No
Soporte Poste,No
Soporte Esquina,No
Soporte Empotrado,No
Soporte Suspendido,No
Alimentación,Hi-PoE 802.3bt
Alto x Ancho x Profundo (cm),15.80 x 15.80 x 29.33
Peso (kg),2.80
Disponibilidad,C
"",PNM-7082RVD,PNM-C16083RVQ,PNM-C32083RVQ
Resolución,2 Mpx,4 Mpx,4 Mpx
"Ángulo Visualización",180o,360o,360o
No Sensores,2,4,4
Distancia Focal,3 - 6 mm,3.3 - 5.7 mm,3.3 - 5.7 mm
LEDs,25 m IR,15 m IR,15 m IR
"",,Detección de placa matrícula,
"",VCA,Clasificación Tipo de Vehículo,Hombre / Vehículo
Análisis de Video,,,
"",Detección de Movimiento,Detección de Humanos,VCA
"",,Detección de Rostros,
Giro Continuo PTZ,;,;,;
Grado de Protección,,,
Antivandálica,IK10,IK10,IK10
Tecnología de Vídeo,IP,IP,IP
Entradas/Salidas de Alarma,;,2e/2s,2e/2s
Stitching,;,;,;
Tecnología Cámara,IP,IP,IP
Tipo de Cámara,Multisensor,Multisensor,Multisensor
Tipo de Óptica,Motorizada,Varifocal Manual,Varifocal Manual
WDR,150 dB,120 dB,120 dB
Soporte Pared,No,No,No
Soporte Techo,No,No,No
Soporte Poste,No,No,No
Soporte Esquina,No,No,No
Soporte Empotrado,No,No,No
"",,,Hi-PoE 802.3bt
Alimentación,PoE 802.3af,PoE+ 802.3at,
"",,,PoE+ 802.3at
Alto x Ancho x Profundo (cm),9.32 x 21.50 x 13.50,25.00 x 25.00 x 11.42,25.00 x 25.00 x 11.42
Peso (kg),1.33,2.73,2.82
Disponibilidad,C,C,C
"",PNM-9002VQ,PNM-9084RQZ1,PNM-9085RQZ1
Resolución,2 Mpx,2 Mpx,5 Mpx
"Ángulo Visualización",360o,360o,360o
No Sensores,4,4,4
"","2 Mpx (2,4 / 2,8 / 3,6 / 6 mm) 5 Mpx (",,
Distancia Focal,,"3,2 - 10 mm","4,13 - 9,4 mm"
"","3,7 / 4,6 / 7 mm)",,
LEDs,;,30 m IR,30 m IR
"",Mapa Calor,VCA,VCA
Análisis de Video,VCA,Detección de Movimiento,Detección de Movimiento
"",Detección de Rostros,Detección de Rostros,Detección de Rostros
Giro Continuo PTZ,;,;,;
Grado de Protección,,,
Antivandálica,IK10,IK10,IK10
Tecnología de Vídeo,IP,IP,IP
Entradas/Salidas de Alarma,;,1e/1s,1e/1s
Stitching,;,;,;
Tecnología Cámara,IP,IP,IP
Tipo de Cámara,Multisensor,Multisensor,Multisensor
Tipo de Óptica,Sin Óptica,Motorizada,Motorizada
WDR,120dB / 150dB,120 dB,120 dB
Soporte Pared,SBP-300WM1,No,No
Soporte Techo,SBP-300CM,SBP-300CMW,SBP-300CMW
Soporte Poste,SBP-300PM,SBP-300PMW,SBP-300PMW
Soporte Esquina,SBP-300KM,SBP-300KMW,SBP-300KMW
Soporte Empotrado,No,No,No
"",,12 Vdc,12 Vdc
Alimentación,PoE+ 802.3at,,
"",,Hi-PoE 802.3bt,Hi-PoE 802.3bt
Alto x Ancho x Profundo (cm),13.00 x 25.30 x 25.30,14.59 x 31.50 x 31.50,14.59 x 31.50 x 31.50
Peso (kg),3.00,5.20,5.20
Disponibilidad,C,C,C
"",Descripción Corta,Disponibilidad
SLA-2M2400Q,"Modulo lente para PNM-9002VQ de 2MP, óptica fija 2.4mm, WDR 150dB",C
SLA-2M2800Q,"Módulo lente para PNM-9002VQ de 2MP, óptica fija 2.8mm, WDR 150dB",C
SLA-2M3600Q,"Módulo lente para PNM-9002VQ de 2MP, óptica fija 3.6mm, WDR 150dB",C
SLA-5M3700Q,"Módulo lente para PNM-9002VQ de 5MP, óptica fija 3.7mm, WDR 120dB",C
